username,tweet_id,text,created_at,retweets,likes
NickTimiraos,1726267641734836283,"@Thedude69750960 Looking better for a central bank that doesn’t want to get stuck in a place where inflation stays high when/if the economy weakens, which would create a starker tradeoff over whether to ease as the economy weakens

Same point here: https://t.co/nCGEmH1PL9",2023-11-19 15:54:12+00:00,0,3
NickTimiraos,1725310947474931761,"And Walmart's CEO, on wages, today: ""Wage inflation is not as bad as it was before.... I'm not worried about wages. We've got an appropriate wage improvement for our associates planned for next year.""",2023-11-17 00:32:39+00:00,6,49
NickTimiraos,1725292927797153872,"This was his view last quarter on pricing dynamics: “We’ll see disinflation but not all the way back to deflation, I don’t believe, certainly not in the short term.” https://t.co/JckCMzgCZz",2023-11-16 23:21:03+00:00,3,82
NickTimiraos,1725264982873616512,"Eric Rosengren says soft landing is now his base case: ""This is about as good an outcome as the Federal Reserve could be expecting, which is a falling inflation rate, an unemployment rate that's a little below 4%"" and an economy that's not growing too fast https://t.co/4ClKD7jR0k",2023-11-16 21:30:00+00:00,45,274
NickTimiraos,1725245833434583107,"Walmart says general merchandise prices are declining: 

CEO Doug McMillon: “We may be managing through a period of deflation in the months to come, and while that would put more unit pressure on us, we welcome it, because it’s better for our customers.” 

https://t.co/Dfo48WS9V8",2023-11-16 20:13:54+00:00,65,259
NickTimiraos,1725244279428169863,"@JeffHorwich Upon reflection, a better way to do it, just to be consistent, would be to look at 6-month annualized rates. April to October 2023 is tracking 2.5%, while October ‘22 to April 2023 was 4.5%.",2023-11-16 20:07:44+00:00,0,3
NickTimiraos,1725197904753647906,"@JeffHorwich Two, we saw a clear step down in core inflation in June. And again in July. Maybe it was a fluke. 

So I have been looking every month at whether the numbers since June are for whatever reasons behaving differently and sustaining a lower rate.",2023-11-16 17:03:27+00:00,1,5
NickTimiraos,1725196969620988200,"@JeffHorwich It’s arbitrary just like any other measure, but there are two reasons for it here. One was simply that we have ten months worth of data for the year, so five is half of that. You can compare the first half with the second half of the year in a way that illustrates a clear change.",2023-11-16 16:59:44+00:00,0,7
NickTimiraos,1725180421539860825,"@I_Am_MikeJones @mikesimonsen Suggesting that “the numbers have changed” and are therefore unreliable is cringe: the methodology is transparent and has not changed. 

What changed is that the pandemic led to huge shifts in health care demand that highlighted the idiosyncrasies of this form of price accounting",2023-11-16 15:53:59+00:00,2,8
NickTimiraos,1725173070048924110,"@I_Am_MikeJones @mikesimonsen No, you are sadly mistaken. 

It doesn’t “prove” your point unless your point is that you just discovered the -34% decline on Tuesday (the decline in September was -37%, as was predicted 12 months ago by those who understand what this number is and how it’s calculated.)",2023-11-16 15:24:46+00:00,1,7
